MOFID,label,GATS1p,ATSC1e,X4v,GATS3p,GATS4p,MATS1p,EM,Vatomic,SpPosA_B_p,GATS2m,J_Dz_e,SpDiam_Dz_e,SM1_Dz_e,EE_B_p,MAXDN,VE1_B_s,SpMin1_Bh_s,GATS2p,Eta_sh_x,GATS2e,GATS1m,MATS4p,Mp,ATSC1p,SpMax2_Bh_m,X0Av,P
144,0,1.55,0.321,34.03,1.817,1.388,-0.141,4.28,7.11,1.423,0.983,0.7716,939.066,0.599,7.195,3.628,4.529,1.551,1.11,0.037,0.813,1.011,0.057,0.81,13.132,5.236,0.567,1.83
145,0,1.604,0.436,32.448,1.823,1.386,-0.192,4.28,7.11,1.421,0.979,0.7846,922.835,0.712,7.189,3.795,4.677,1.504,1.109,0.037,0.799,0.973,0.065,0.808,15.937,5.236,0.566,1.83
146,0,1.661,0.521,29.094,1.942,1.484,-0.229,4.28,7.11,1.413,0.998,0.8725,828.116,1.306,7.201,3.956,4.673,1.504,1.156,0.038,0.73,0.97,0.091,0.813,14.897,5.237,0.543,1.83
147,0,1.636,0.29,27.541,2.015,1.585,-0.177,4.28,7.11,1.433,1.105,0.9349,801.708,0.599,7.157,3.759,4.481,1.551,1.239,0.04,0.903,1.068,0.067,0.847,11.544,5.236,0.556,1.83
148,0,1.614,0.896,33.743,1.912,1.557,-0.207,4.28,7.11,1.352,0.995,0.6263,2069.166,1.895,7.436,4.588,4.603,1.504,1.192,0.026,0.733,0.934,0.073,0.816,17.037,5.236,0.521,1.83
149,0,1.553,0.343,32.255,1.82,1.451,-0.147,4.28,7.11,1.447,1.021,0.776,986.296,0.283,7.252,3.475,4.379,1.552,1.157,0.036,1.054,1.019,0.042,0.822,12.984,5.236,0.564,1.83
150,0,1.601,0.287,30.112,1.93,1.591,-0.173,4.28,7.11,1.412,1.021,0.8015,953.837,1.093,7.225,3.636,4.372,1.548,1.202,0.037,0.991,1.017,0.084,0.828,12.102,5.236,0.545,1.83
151,0,1.656,0.45,28.528,1.935,1.588,-0.227,4.28,7.11,1.409,1.018,0.8161,935.658,1.163,7.219,3.803,4.478,1.5,1.201,0.037,0.959,0.977,0.093,0.825,14.861,5.236,0.544,1.83
152,0,1.641,0.159,24.862,1.817,1.406,-0.234,4.39,6.61,1.434,1.067,1.0757,471.576,0.64,6.84,3.324,4.556,1.489,1.131,0.045,0.875,1.06,0.065,0.818,12.706,5.45,0.57,1.88
153,0,1.645,0.226,24.188,2.038,1.251,-0.211,4.39,6.61,1.396,1.103,1.0898,463.61,1.204,6.808,3.455,4.4,1.528,1.15,0.047,0.972,1.121,0.146,0.831,9.483,5.45,0.545,1.88
