MOFID,targets,Vatomic,EE_B_p,GATS4e,GATS1m,MATS4p,SpMin1_Bh_s,ATSC2e,SpMax2_Bh_m,GATS3p,Mp,EM,GATS2e,GATS2p,SpMAD_B_p,ratomic,GATS5e,GATS1p,SM1_Dz_e,ATSC1e,ATSC1p,P,m,Eta_sh_x,ATSC6p
69,0.486814,9.83,8.51,1.68,0.911,0.041,1.558,1.389,4.913,2.046,0.857,5.31,0.967,1.261,1.785,1.53,1.602,1.709,0.555,0.979,20.455,1.63,50.94,0.062,57.951
70,0.048614,9.83,8.589,1.196,0.907,0.032,1.61,1.346,4.912,2.036,0.855,5.31,0.83,1.3,1.769,1.53,1.184,1.658,1.501,0.895,17.537,1.63,50.94,0.042,70.491
71,0.222714,9.83,8.589,1.196,0.907,0.032,1.61,1.346,4.912,2.036,0.855,5.31,0.83,1.3,1.769,1.53,1.184,1.658,1.501,0.895,17.537,1.63,50.94,0.042,70.491
72,0.228314,9.83,8.583,1.33,0.87,0.036,1.558,1.686,4.912,2.038,0.853,5.31,0.835,1.3,1.77,1.53,1.24,1.697,1.548,1.28,21.803,1.63,50.94,0.042,71.041
73,0.395614,9.83,8.583,1.33,0.87,0.036,1.558,1.686,4.912,2.038,0.853,5.31,0.835,1.3,1.77,1.53,1.24,1.697,1.548,1.28,21.803,1.63,50.94,0.042,71.041
74,0.222014,9.83,8.503,1.911,1.012,0.02,1.61,0.882,4.912,2.141,0.894,5.31,1.377,1.366,1.806,1.53,1.715,1.727,-0.756,0.765,16.163,1.63,50.94,0.065,52.18
75,0.193714,9.83,8.503,1.911,1.012,0.02,1.61,0.882,4.912,2.141,0.894,5.31,1.377,1.366,1.806,1.53,1.715,1.727,-0.756,0.765,16.163,1.63,50.94,0.065,52.18
76,0.463314,9.83,8.497,2.098,0.968,0.026,1.558,1.168,4.912,2.143,0.891,5.31,1.264,1.365,1.809,1.53,1.713,1.768,-0.648,1.067,20.344,1.63,50.94,0.065,52.822
77,0.440514,9.83,8.497,2.098,0.968,0.026,1.558,1.168,4.912,2.143,0.891,5.31,1.264,1.365,1.809,1.53,1.713,1.768,-0.648,1.067,20.344,1.63,50.94,0.065,52.822
78,0.316114,9.83,8.535,1.713,0.962,0.02,1.61,0.945,4.912,1.958,0.857,5.31,1.3,1.282,1.798,1.53,1.502,1.665,-0.756,0.797,16.747,1.63,50.94,0.056,71.5
79,0.188814,9.83,8.535,1.713,0.962,0.02,1.61,0.945,4.912,1.958,0.857,5.31,1.3,1.282,1.798,1.53,1.502,1.665,-0.756,0.797,16.747,1.63,50.94,0.056,71.5
80,0.683314,9.83,8.529,1.877,0.923,0.025,1.562,1.24,4.912,1.96,0.854,5.31,1.195,1.281,1.8,1.53,1.493,1.705,-0.648,1.099,21.004,1.63,50.94,0.056,72.228
81,0.480014,9.83,8.529,1.877,0.923,0.025,1.562,1.24,4.912,1.96,0.854,5.31,1.195,1.281,1.8,1.53,1.493,1.705,-0.648,1.099,21.004,1.63,50.94,0.056,72.228
82,0.235414,9.83,8.589,1.196,0.907,0.032,1.61,1.346,4.912,2.036,0.855,5.31,0.83,1.3,1.769,1.53,1.184,1.658,1.501,0.895,17.537,1.63,50.94,0.042,70.491
83,0.461114,9.83,8.583,1.33,0.87,0.036,1.558,1.686,4.912,2.038,0.853,5.31,0.835,1.3,1.77,1.53,1.24,1.697,1.548,1.28,21.803,1.63,50.94,0.042,71.041
84,0.389914,9.83,8.583,1.33,0.87,0.036,1.558,1.686,4.912,2.038,0.853,5.31,0.835,1.3,1.77,1.53,1.24,1.697,1.548,1.28,21.803,1.63,50.94,0.042,71.041
85,0.083414,9.83,8.487,1.426,1.0,0.026,1.612,0.843,4.912,2.006,0.874,5.31,1.116,1.295,1.805,1.53,1.224,1.705,-0.492,0.734,15.787,1.63,50.94,0.074,57.41
86,0.186714,9.83,8.487,1.426,1.0,0.026,1.612,0.843,4.912,2.006,0.874,5.31,1.116,1.295,1.805,1.53,1.224,1.705,-0.492,0.734,15.787,1.63,50.94,0.074,57.41
87,0.493514,9.83,8.48,1.602,0.957,0.031,1.561,1.114,4.912,2.008,0.871,5.31,1.064,1.294,1.808,1.53,1.262,1.746,-0.35,1.035,19.979,1.63,50.94,0.074,58.47
88,0.448214,9.83,8.48,1.602,0.957,0.031,1.561,1.114,4.912,2.008,0.871,5.31,1.064,1.294,1.808,1.53,1.262,1.746,-0.35,1.035,19.979,1.63,50.94,0.074,58.47
89,0.561514,9.83,8.48,1.195,1.017,0.078,1.611,1.053,4.912,2.191,0.891,5.31,1.081,1.304,1.809,1.53,1.296,1.712,0.702,0.705,15.829,1.63,50.94,0.077,39.895
90,0.015814,9.83,8.48,1.195,1.017,0.078,1.611,1.053,4.912,2.191,0.891,5.31,1.081,1.304,1.809,1.53,1.296,1.712,0.702,0.705,15.829,1.63,50.94,0.077,39.895
91,0.434214,9.83,8.473,1.366,0.971,0.086,1.56,1.392,4.912,2.192,0.887,5.31,1.057,1.303,1.812,1.53,1.275,1.752,0.805,1.075,19.97,1.63,50.94,0.077,40.762
92,0.312414,9.83,8.473,1.366,0.971,0.086,1.56,1.392,4.912,2.192,0.887,5.31,1.057,1.303,1.812,1.53,1.275,1.752,0.805,1.075,19.97,1.63,50.94,0.077,40.762
93,0.184814,9.83,8.496,1.353,1.021,0.045,1.612,0.773,4.913,2.048,0.834,5.31,1.029,1.316,1.747,1.53,1.223,1.697,0.175,0.789,15.961,1.63,50.94,0.069,65.325
94,0.143614,9.83,8.496,1.353,1.021,0.045,1.612,0.773,4.913,2.048,0.834,5.31,1.029,1.316,1.747,1.53,1.223,1.697,0.175,0.789,15.961,1.63,50.94,0.069,65.325
95,0.460214,9.83,8.489,1.514,0.98,0.05,1.561,1.031,4.913,2.051,0.831,5.31,1.002,1.316,1.75,1.53,1.224,1.739,0.343,1.098,20.174,1.63,50.94,0.069,66.951
96,0.476014,9.83,8.5,1.617,0.922,0.047,1.561,1.132,4.912,2.034,0.86,5.31,1.0,1.29,1.775,1.53,1.351,1.727,0.521,0.977,20.392,1.63,50.94,0.062,57.163
97,0.456814,9.83,8.5,1.617,0.922,0.047,1.561,1.132,4.912,2.034,0.86,5.31,1.0,1.29,1.775,1.53,1.351,1.727,0.521,0.977,20.392,1.63,50.94,0.062,57.163
98,0.259714,9.83,8.542,1.441,0.952,0.029,1.612,0.892,4.912,1.983,0.853,5.31,1.116,1.287,1.786,1.53,1.275,1.669,-0.492,0.761,16.884,1.63,50.94,0.054,70.685
99,0.301614,9.83,8.542,1.441,0.952,0.029,1.612,0.892,4.912,1.983,0.853,5.31,1.116,1.287,1.786,1.53,1.275,1.669,-0.492,0.761,16.884,1.63,50.94,0.054,70.685
