MOFID,Label_Stab,sample_weight,ATS7p,ATSC3p,VE2_X,P_VSA_v_3,SpMax8_Bh_m,P_VSA_s_3,Molecular_Topological_Index_Unit,SM2_B_p,TIC2,Eig11_EA_ed,Eig13_AEA_ed,VE1_X,SpMaxA_B_s,MLOGP2,SM13_AEA_bo,JGT,VE3sign_H2,IC2,P_VSA_LogP_7,F04_C_N,Eig06_EA_ri,P_VSA_LogP_5,SpMin6_Bh_s,SpMax4_Bh_e,LogP_Linker,GATS2m,SpMin1_Bh_s,X3v,SpMax4_Bh_m,GGI5
L4-O-CrCr-CHO,1,3.0,5.792,52.833,0.094,348.95,3.795,98.672,10275.51744,6.027,466.346,9.566,6.006,7.293,0.095,19.102,3.115,0.373,-14.34,4.164,376.675,58,2.95,183.243,1.062,3.939,2.7977,0.988,1.541,30.829,4.057,5.934
L4-O-CuCu-C,1,3.0,5.585,35.248,0.098,338.683,3.795,92.3,10022.58349,5.818,420.058,9.526,6.006,7.22,0.068,31.266,3.073,0.355,-12.128,3.889,400.217,58,2.938,176.872,1.058,3.913,2.7977,1.074,1.453,24.913,4.06,5.698
L4-O-CuCu-CHO,1,3.0,5.664,35.439,0.094,348.95,3.795,98.672,10275.51744,5.863,466.346,9.566,6.006,7.293,0.095,19.102,3.115,0.373,-14.34,4.164,376.675,58,2.95,183.243,1.062,3.939,2.7977,1.081,1.458,25.359,4.06,5.934
L4-O-FeFe-C,1,3.0,5.629,42.69,0.098,338.683,3.795,92.3,10022.58349,5.88,420.058,9.526,6.006,7.22,0.068,31.266,3.073,0.355,-12.128,3.889,400.217,58,2.938,176.872,1.058,3.913,2.7977,1.016,1.5,27.477,4.059,5.698
L4-O-FeFe-CHO,1,3.0,5.72,42.775,0.094,348.95,3.795,98.672,10275.51744,5.922,466.346,9.566,6.006,7.293,0.095,19.102,3.115,0.373,-14.34,4.164,376.675,58,2.95,183.243,1.062,3.939,2.7977,1.022,1.504,27.923,4.059,5.934
L4-O-MnMn-C,1,2.20833333,5.648,45.899,0.098,338.683,3.795,92.3,10022.58349,5.911,420.058,9.526,6.006,7.22,0.068,31.266,3.073,0.355,-12.128,3.889,400.217,58,2.938,176.872,1.058,3.913,2.7977,1.008,1.518,28.747,4.058,5.698
L4-O-MnMn-CHO,0,1.02758333,5.743,45.937,0.094,348.95,3.795,98.672,10275.51744,5.953,466.346,9.566,6.006,7.293,0.095,19.102,3.115,0.373,-14.34,4.164,376.675,58,2.95,183.243,1.062,3.939,2.7977,1.014,1.522,29.194,4.058,5.934
L4-O-NiNi-C,1,3.0,5.598,37.522,0.098,338.683,3.795,92.3,10022.58349,5.835,420.058,9.526,6.006,7.22,0.068,31.266,3.073,0.355,-12.128,3.889,400.217,58,2.938,176.872,1.058,3.913,2.7977,1.038,1.468,25.618,4.059,5.698
L4-O-NiNi-CHO,1,3.0,5.681,37.681,0.094,348.95,3.795,98.672,10275.51744,5.879,466.346,9.566,6.006,7.293,0.095,19.102,3.115,0.373,-14.34,4.164,376.675,58,2.95,183.243,1.062,3.939,2.7977,1.045,1.472,26.064,4.059,5.934
L4-O-ScSc-C,0,3.0,5.792,72.208,0.098,338.683,3.792,92.3,10022.58349,6.247,420.058,9.526,6.006,7.22,0.068,31.266,3.073,0.355,-12.128,3.889,400.217,58,2.938,176.872,1.058,3.913,2.7977,0.915,1.604,40.737,4.052,5.698
