MOFID,Label_Stab,sample_weight,ATS7p,ATSC3p,VE2_X,P_VSA_v_3,SpMax8_Bh_m,P_VSA_s_3,Molecular_Topological_Index_Unit,SM2_B_p,TIC2,Eig11_EA_ed,Eig13_AEA_ed,VE1_X,SpMaxA_B_s,MLOGP2,SM13_AEA_bo,JGT,VE3sign_H2,IC2,P_VSA_LogP_7,F04_C_N,Eig06_EA_ri,P_VSA_LogP_5,SpMin6_Bh_s,SpMax4_Bh_e,LogP_Linker,GATS2m,SpMin1_Bh_s,X3v,SpMax4_Bh_m,GGI5
L8-N-CuCu-C,1,3.0,5.685,37.115,0.067,340.693,3.96,94.311,5334.148115,5.918,473.663,9.799,6.006,5.205,0.066,9.008,3.103,0.343,-12.816,4.014,400.217,60,3.017,160.872,1.15,4.03,4.0833,1.051,1.496,28.095,4.344,6.053
L8-N-CuCu-CHO,1,3.0,5.757,37.347,0.067,350.96,3.96,100.682,5566.782537,5.959,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,60,3.045,167.243,1.15,4.03,4.0833,1.057,1.5,28.542,4.344,6.289
L8-N-FeFe-C,1,3.0,5.722,44.41,0.067,340.693,3.953,94.311,5334.148115,5.974,473.663,9.799,6.006,5.205,0.066,9.008,3.103,0.343,-12.816,4.014,400.217,60,3.017,160.872,1.15,4.031,4.0833,0.996,1.548,30.9,4.343,6.053
L8-N-FeFe-CHO,1,3.0,5.805,44.547,0.067,350.96,3.953,100.682,5566.782537,6.013,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,60,3.045,167.243,1.15,4.031,4.0833,1.0,1.551,31.346,4.343,6.289
L8-N-MnMn-C,1,3.0,5.737,47.565,0.067,340.693,3.952,94.311,5334.148115,6.003,473.663,9.799,6.006,5.205,0.066,9.008,3.103,0.343,-12.816,4.014,400.217,60,3.017,160.872,1.15,4.031,4.0833,0.989,1.567,32.292,4.343,6.053
L8-N-MnMn-CHO,1,3.0,5.825,47.659,0.067,350.96,3.952,100.682,5566.782537,6.041,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,60,3.045,167.243,1.15,4.031,4.0833,0.993,1.57,32.738,4.343,6.289
L8-N-NiNi-C,1,3.0,5.696,39.341,0.067,340.693,3.956,94.311,5334.148115,5.934,473.663,9.799,6.006,5.205,0.066,9.008,3.103,0.343,-12.816,4.014,400.217,60,3.017,160.872,1.15,4.03,4.0833,1.018,1.512,28.866,4.344,6.053
L8-N-NiNi-CHO,1,3.0,5.772,39.544,0.067,350.96,3.956,100.682,5566.782537,5.974,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,60,3.045,167.243,1.15,4.03,4.0833,1.022,1.516,29.312,4.344,6.289
L8-N-ScSc-C,0,3.0,5.86,73.654,0.067,340.693,3.932,94.311,5334.148115,6.314,473.663,9.799,6.006,5.205,0.066,9.008,3.103,0.343,-12.816,4.014,400.217,60,3.017,160.872,1.15,4.028,4.0833,0.904,1.658,45.479,4.337,6.053
L8-N-ScSc-CHO,0,3.0,5.979,73.364,0.067,350.96,3.932,100.682,5566.782537,6.342,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,60,3.045,167.243,1.15,4.028,4.0833,0.905,1.66,45.925,4.337,6.289
L8-N-TiTi-C,1,3.0,5.815,63.802,0.067,340.693,3.94,94.311,5334.148115,6.185,473.663,9.799,6.006,5.205,0.066,9.008,3.103,0.343,-12.816,4.014,400.217,60,3.017,160.872,1.15,4.028,4.0833,0.93,1.633,39.978,4.34,6.053
L8-N-TiTi-CHO,1,3.0,5.923,63.664,0.067,350.96,3.94,100.682,5566.782537,6.216,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,60,3.045,167.243,1.15,4.028,4.0833,0.932,1.635,40.424,4.34,6.289
L8-N-VV-C,1,3.0,5.783,56.967,0.067,340.693,3.947,94.311,5334.148115,6.102,473.663,9.799,6.006,5.205,0.066,9.008,3.103,0.343,-12.816,4.014,400.217,60,3.017,160.872,1.15,4.029,4.0833,0.957,1.61,36.504,4.342,6.053
L8-N-VV-CHO,1,3.0,5.883,56.93,0.067,350.96,3.947,100.682,5566.782537,6.137,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,60,3.045,167.243,1.15,4.029,4.0833,0.959,1.612,36.95,4.342,6.289
L8-N-ZnZn-C,1,3.0,5.701,40.294,0.067,340.693,3.961,94.311,5334.148115,5.941,473.663,9.799,6.006,5.205,0.066,9.008,3.103,0.343,-12.816,4.014,400.217,60,3.017,160.872,1.15,4.031,4.0833,1.063,1.481,27.438,4.344,6.053
L8-N-ZnZn-CHO,1,3.0,5.778,40.485,0.067,350.96,3.961,100.682,5566.782537,5.981,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,60,3.045,167.243,1.15,4.031,4.0833,1.069,1.485,27.884,4.344,6.289
L8-O-CoCo-C,1,3.0,5.698,42.648,0.068,343.055,3.862,100.509,11912.38677,5.931,530.653,9.797,6.006,5.207,0.067,8.517,3.101,0.359,-12.653,4.459,423.76,46,2.982,166.458,1.15,4.03,4.8237,1.006,1.484,28.427,4.333,6.238
L8-O-CoCo-CHO,1,3.0,5.781,42.642,0.067,355.934,3.956,105.655,11637.23478,5.99,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,46,3.033,172.216,1.15,4.032,4.8237,1.021,1.488,29.139,4.344,6.289
L8-O-CrCr-C,1,3.0,5.763,55.526,0.068,343.055,3.862,100.509,11912.38677,6.057,530.653,9.797,6.006,5.207,0.066,8.517,3.101,0.359,-12.653,4.459,423.76,46,2.982,166.458,1.15,4.027,4.8237,0.95,1.538,32.353,4.332,6.238
L8-O-CrCr-CHO,1,3.0,5.862,55.242,0.067,355.934,3.948,105.655,11637.23478,6.109,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,46,3.033,172.216,1.15,4.029,4.8237,0.965,1.541,33.065,4.343,6.289
L8-O-CuCu-C,1,3.0,5.675,38.213,0.068,343.055,3.862,100.509,11912.38677,5.898,530.653,9.797,6.006,5.207,0.067,8.517,3.101,0.359,-12.653,4.459,423.76,46,2.982,166.458,1.15,4.028,4.8237,1.04,1.454,26.882,4.334,6.238
L8-O-CuCu-CHO,1,3.0,5.751,38.296,0.067,355.934,3.96,105.655,11637.23478,5.958,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,46,3.033,172.216,1.15,4.03,4.8237,1.054,1.459,27.594,4.344,6.289
L8-O-FeFe-C,1,3.0,5.713,45.488,0.068,343.055,3.862,100.509,11912.38677,5.956,530.653,9.797,6.006,5.207,0.066,8.517,3.101,0.359,-12.653,4.459,423.76,46,2.982,166.458,1.15,4.029,4.8237,0.982,1.5,29.447,4.333,6.238
L8-O-FeFe-CHO,1,3.0,5.799,45.423,0.067,355.934,3.953,105.655,11637.23478,6.012,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,46,3.033,172.216,1.15,4.031,4.8237,0.997,1.504,30.159,4.343,6.289
L8-O-MnMn-C,1,1.37466667,5.729,48.636,0.068,343.055,3.862,100.509,11912.38677,5.985,530.653,9.797,6.006,5.207,0.066,8.517,3.101,0.359,-12.653,4.459,423.76,46,2.982,166.458,1.15,4.029,4.8237,0.975,1.518,30.717,4.333,6.238
L8-O-MnMn-CHO,0,1.59425,5.819,48.504,0.067,355.934,3.952,105.655,11637.23478,6.04,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,46,3.033,172.216,1.15,4.031,4.8237,0.99,1.522,31.429,4.343,6.289
L8-O-NiNi-C,1,3.0,5.687,40.432,0.068,343.055,3.862,100.509,11912.38677,5.914,530.653,9.797,6.006,5.207,0.067,8.517,3.101,0.359,-12.653,4.459,423.76,46,2.982,166.458,1.15,4.028,4.8237,1.004,1.468,27.587,4.333,6.238
L8-O-NiNi-CHO,1,3.0,5.766,40.471,0.067,355.934,3.956,105.655,11637.23478,5.973,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,46,3.033,172.216,1.15,4.03,4.8237,1.019,1.473,28.3,4.344,6.289
L8-O-ScSc-C,0,3.0,5.853,74.691,0.068,343.055,3.862,100.509,11912.38677,6.301,530.653,9.797,6.006,5.207,0.066,8.517,3.101,0.359,-12.653,4.459,423.76,46,2.982,166.458,1.15,4.025,4.8237,0.885,1.604,42.706,4.326,6.238
L8-O-ScSc-CHO,0,3.0,5.974,73.943,0.067,355.934,3.932,105.655,11637.23478,6.341,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,46,3.033,172.216,1.15,4.028,4.8237,0.902,1.606,43.418,4.337,6.289
L8-O-TiTi-C,0,1.48758333,5.807,64.846,0.068,343.055,3.862,100.509,11912.38677,6.17,530.653,9.797,6.006,5.207,0.066,8.517,3.101,0.359,-12.653,4.459,423.76,46,2.982,166.458,1.15,4.026,4.8237,0.913,1.581,37.714,4.33,6.238
L8-O-TiTi-CHO,0,2.4979166699999995,5.918,64.345,0.067,355.934,3.94,105.655,11637.23478,6.216,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,46,3.033,172.216,1.15,4.028,4.8237,0.929,1.583,38.426,4.34,6.289
L8-O-VV-C,1,3.0,5.775,58.02,0.068,343.055,3.862,100.509,11912.38677,6.086,530.653,9.797,6.006,5.207,0.066,8.517,3.101,0.359,-12.653,4.459,423.76,46,2.982,166.458,1.15,4.026,4.8237,0.94,1.558,34.555,4.332,6.238
L8-O-VV-CHO,1,2.33741667,5.877,57.68,0.067,355.934,3.947,105.655,11637.23478,6.136,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,46,3.033,172.216,1.15,4.029,4.8237,0.956,1.561,35.267,4.342,6.289
L8-O-ZnZn-C,1,3.0,5.692,41.383,0.068,343.055,3.862,100.509,11912.38677,5.921,530.653,9.797,6.006,5.207,0.067,8.517,3.101,0.359,-12.653,4.459,423.76,46,2.982,166.458,1.15,4.029,4.8237,1.052,1.44,26.28,4.334,6.238
L9-N-CoCo-C,1,3.0,5.772,39.779,0.062,391.343,3.866,144.96,6086.735907,5.988,461.663,9.851,6.036,5.229,0.089,12.17,3.208,0.361,-14.283,3.912,400.217,38,3.209,105.737,1.095,3.959,2.493,1.015,1.529,31.056,4.173,8.283
L9-N-CoCo-CHO,1,3.0,5.847,39.897,0.062,401.61,3.875,151.331,6316.907039,6.026,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,38,3.209,112.108,1.099,3.959,2.493,1.022,1.532,31.502,4.173,8.519
L9-N-CrCr-C,1,3.0,5.842,52.146,0.062,391.343,3.858,144.96,6086.735907,6.107,461.663,9.851,6.036,5.229,0.089,12.17,3.208,0.361,-14.283,3.912,400.217,38,3.209,105.737,1.095,3.955,2.493,0.956,1.588,35.358,4.172,8.283
L9-N-CrCr-CHO,1,3.0,5.933,52.082,0.062,401.61,3.875,151.331,6316.907039,6.141,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,38,3.209,112.108,1.099,3.955,2.493,0.962,1.59,35.804,4.172,8.519
L9-N-CuCu-C,1,3.0,5.747,35.55,0.062,391.343,3.87,144.96,6086.735907,5.956,461.663,9.851,6.036,5.229,0.089,12.17,3.208,0.361,-14.283,3.912,400.217,38,3.209,105.737,1.095,3.956,2.493,1.05,1.496,29.368,4.174,8.283
L9-N-CuCu-CHO,1,3.0,5.816,35.726,0.062,401.61,3.875,151.331,6316.907039,5.996,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,38,3.209,112.108,1.099,3.956,2.493,1.058,1.5,29.814,4.174,8.519
L9-N-FeFe-C,1,3.0,5.788,42.495,0.062,391.343,3.862,144.96,6086.735907,6.01,461.663,9.851,6.036,5.229,0.089,12.17,3.208,0.361,-14.283,3.912,400.217,38,3.209,105.737,1.095,3.957,2.493,0.99,1.548,32.172,4.173,8.283
L9-N-FeFe-CHO,1,3.0,5.866,42.576,0.062,401.61,3.875,151.331,6316.907039,6.048,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,38,3.209,112.108,1.099,3.957,2.493,0.997,1.551,32.618,4.173,8.519
L9-N-MnMn-C,1,3.0,5.805,45.513,0.062,391.343,3.861,144.96,6086.735907,6.038,461.663,9.851,6.036,5.229,0.089,12.17,3.208,0.361,-14.283,3.912,400.217,38,3.209,105.737,1.095,3.957,2.493,0.982,1.567,33.564,4.172,8.283
L9-N-MnMn-CHO,1,3.0,5.888,45.549,0.062,401.61,3.875,151.331,6316.907039,6.075,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,38,3.209,112.108,1.099,3.957,2.493,0.989,1.57,34.01,4.172,8.519
L9-N-NiNi-C,1,3.0,5.76,37.664,0.062,391.343,3.866,144.96,6086.735907,5.971,461.663,9.851,6.036,5.229,0.089,12.17,3.208,0.361,-14.283,3.912,400.217,38,3.209,105.737,1.095,3.956,2.493,1.014,1.512,30.138,4.173,8.283
L9-N-NiNi-CHO,1,3.0,5.831,37.812,0.062,401.61,3.875,151.331,6316.907039,6.01,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,38,3.209,112.108,1.099,3.956,2.493,1.021,1.516,30.584,4.173,8.519
L9-N-ScSc-C,0,3.0,5.94,70.801,0.062,391.343,3.858,144.96,6086.735907,6.34,461.663,9.851,6.036,5.229,0.089,12.17,3.208,0.361,-14.283,3.912,400.217,38,3.209,105.737,1.095,3.952,2.493,0.887,1.658,46.751,4.168,8.283
L9-N-ScSc-CHO,0,3.0,6.05,70.419,0.062,401.61,3.87,151.331,6316.907039,6.367,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,38,3.209,112.108,1.099,3.952,2.493,0.892,1.66,47.197,4.168,8.519
L9-N-TiTi-C,1,3.0,5.891,61.18,0.062,391.343,3.858,144.96,6086.735907,6.214,461.663,9.851,6.036,5.229,0.089,12.17,3.208,0.361,-14.283,3.912,400.217,38,3.209,105.737,1.095,3.952,2.493,0.916,1.633,41.25,4.17,8.283
L9-N-TiTi-CHO,1,3.0,5.991,60.968,0.062,401.61,3.872,151.331,6316.907039,6.245,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,38,3.209,112.108,1.099,3.952,2.493,0.922,1.635,41.696,4.17,8.519
L9-N-VV-C,1,3.0,5.856,54.557,0.062,391.343,3.858,144.96,6086.735907,6.134,461.663,9.851,6.036,5.229,0.089,12.17,3.208,0.361,-14.283,3.912,400.217,38,3.209,105.737,1.095,3.953,2.493,0.946,1.61,37.776,4.171,8.283
L9-N-VV-CHO,1,3.0,5.949,54.454,0.062,401.61,3.875,151.331,6316.907039,6.167,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,38,3.209,112.108,1.099,3.953,2.493,0.952,1.612,38.222,4.171,8.519
L9-N-ZnZn-C,1,3.0,5.765,38.571,0.062,391.343,3.872,144.96,6086.735907,5.978,461.663,9.851,6.036,5.229,0.089,12.17,3.208,0.361,-14.283,3.912,400.217,38,3.209,105.737,1.095,3.957,2.493,1.063,1.481,28.71,4.174,8.283
L9-N-ZnZn-CHO,0,3.0,5.838,38.706,0.062,401.61,3.875,151.331,6316.907039,6.017,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,38,3.209,112.108,1.099,3.957,2.493,1.071,1.485,29.156,4.174,8.519
L9-O-CoCo-C,1,3.0,5.763,40.999,0.063,392.479,3.862,149.934,12790.23256,5.971,520.653,9.85,6.033,5.231,0.09,11.618,3.207,0.376,-14.112,4.375,423.76,24,3.209,110.71,1.095,3.956,3.2334,0.999,1.483,29.742,4.169,8.405
L9-O-CoCo-CHO,1,3.0,5.841,40.765,0.062,406.583,3.875,156.305,12473.45317,6.025,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,24,3.209,117.081,1.098,3.959,3.2334,1.02,1.488,30.411,4.173,8.519
L9-O-CrCr-C,1,3.0,5.834,53.239,0.063,392.479,3.859,149.934,12790.23256,6.093,520.653,9.85,6.033,5.231,0.09,11.618,3.207,0.376,-14.112,4.375,423.76,24,3.209,110.71,1.095,3.952,3.2334,0.937,1.538,33.668,4.167,8.405
L9-O-CrCr-CHO,1,3.0,5.928,52.809,0.062,406.583,3.875,156.305,12473.45317,6.14,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,24,3.209,117.081,1.098,3.955,3.2334,0.959,1.541,34.337,4.172,8.519
L9-O-CuCu-C,1,3.0,5.738,36.811,0.063,392.479,3.862,149.934,12790.23256,5.94,520.653,9.85,6.033,5.231,0.09,11.618,3.207,0.376,-14.112,4.375,423.76,24,3.209,110.71,1.095,3.953,3.2334,1.036,1.453,28.197,4.169,8.405
L9-O-CuCu-CHO,1,3.0,5.81,36.641,0.062,406.583,3.875,156.305,12473.45317,5.995,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,24,3.209,117.081,1.098,3.956,3.2334,1.055,1.458,28.867,4.174,8.519
L9-O-FeFe-C,1,3.0,5.779,43.688,0.063,392.479,3.862,149.934,12790.23256,5.995,520.653,9.85,6.033,5.231,0.09,11.618,3.207,0.376,-14.112,4.375,423.76,24,3.209,110.71,1.095,3.954,3.2334,0.973,1.5,30.762,4.168,8.405
L9-O-FeFe-CHO,1,3.0,5.861,43.412,0.062,406.583,3.875,156.305,12473.45317,6.047,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,24,3.209,117.081,1.098,3.957,3.2334,0.994,1.504,31.431,4.173,8.519
L9-O-MnMn-C,1,1.254,5.797,46.675,0.063,392.479,3.862,149.934,12790.23256,6.023,520.653,9.85,6.033,5.231,0.09,11.618,3.207,0.376,-14.112,4.375,423.76,24,3.209,110.71,1.095,3.954,3.2334,0.964,1.518,32.032,4.168,8.405
L9-O-MnMn-CHO,0,1.14808333,5.882,46.352,0.062,406.583,3.875,156.305,12473.45317,6.074,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,24,3.209,117.081,1.098,3.957,3.2334,0.986,1.522,32.701,4.172,8.519
L9-O-NiNi-C,1,3.0,5.751,38.905,0.063,392.479,3.862,149.934,12790.23256,5.955,520.653,9.85,6.033,5.231,0.09,11.618,3.207,0.376,-14.112,4.375,423.76,24,3.209,110.71,1.095,3.953,3.2334,0.997,1.468,28.903,4.169,8.405
L9-O-NiNi-CHO,1,3.0,5.826,38.703,0.062,406.583,3.875,156.305,12473.45317,6.009,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,24,3.209,117.081,1.098,3.956,3.2334,1.018,1.472,29.572,4.173,8.519
L9-O-ScSc-C,0,3.0,5.932,71.685,0.063,392.479,3.845,149.934,12790.23256,6.328,520.653,9.85,6.033,5.231,0.09,11.618,3.207,0.376,-14.112,4.375,423.76,24,3.209,110.71,1.095,3.949,3.2334,0.865,1.604,44.021,4.163,8.405
L9-O-ScSc-CHO,0,3.0,6.046,70.935,0.062,406.583,3.871,156.305,12473.45317,6.366,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,24,3.209,117.081,1.098,3.952,3.2334,0.889,1.606,44.69,4.168,8.519
L9-O-TiTi-C,1,1.21,5.883,62.174,0.063,392.479,3.852,149.934,12790.23256,6.201,520.653,9.85,6.033,5.231,0.09,11.618,3.207,0.376,-14.112,4.375,423.76,24,3.209,110.71,1.095,3.949,3.2334,0.896,1.58,39.029,4.165,8.405
L9-O-TiTi-CHO,0,1.924,5.986,61.594,0.062,406.583,3.873,156.305,12473.45317,6.244,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,24,3.209,117.081,1.098,3.952,3.2334,0.919,1.583,39.698,4.17,8.519
L9-O-VV-C,1,3.0,5.847,55.624,0.063,392.479,3.857,149.934,12790.23256,6.12,520.653,9.85,6.033,5.231,0.09,11.618,3.207,0.376,-14.112,4.375,423.76,24,3.209,110.71,1.095,3.951,3.2334,0.927,1.558,35.87,4.167,8.405
L9-O-VV-CHO,1,3.0,5.944,55.155,0.062,406.583,3.875,156.305,12473.45317,6.167,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,24,3.209,117.081,1.098,3.953,3.2334,0.949,1.561,36.539,4.171,8.519
L9-O-ZnZn-C,1,3.0,5.756,39.803,0.063,392.479,3.862,149.934,12790.23256,5.962,520.653,9.85,6.033,5.231,0.09,11.618,3.207,0.376,-14.112,4.375,423.76,24,3.209,110.71,1.095,3.955,3.2334,1.049,1.44,27.595,4.169,8.405
L9-O-ZnZn-CHO,0,3.0,5.832,39.587,0.062,406.583,3.875,156.305,12473.45317,6.016,508.452,9.963,6.036,5.497,0.085,4.976,3.209,0.377,-17.049,4.168,376.675,24,3.209,117.081,1.098,3.957,3.2334,1.069,1.445,28.264,4.174,8.519
